name,slug,address,latitude,longitude,parking_type,total_spaces,is_24h,open_time,close_time,fee_type,amount_yen,duration_minutes,fee_notes,restriction_name,max_length_mm,max_width_mm,max_height_mm,max_weight_kg,spaces_count,restriction_notes,source_url
南池袋２丁目第９,repark-rep0025666,東京都豊島区南池袋２丁目３５ー８,35.725771224002,139.71568439632,self_propelled,13,TRUE,,,hourly,330,20,,ハイルーフ,5000,1900,2000,2000,13,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0025666&st=4&pref=13
南池袋４丁目,repark-rep0009988,東京都豊島区南池袋４丁目１２ー４,35.724310322581,139.71873698708,self_propelled,5,TRUE,,,hourly,110,10,,ハイルーフ,5000,1900,2000,2000,5,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0009988&st=4&pref=13
南池袋３丁目第２,repark-rep0013358,東京都豊島区南池袋３丁目１６ー１３,35.725607313381,139.71344292302,self_propelled,18,TRUE,,,hourly,440,20,,ハイルーフ,5000,1900,2000,2000,18,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0013358&st=4&pref=13
東池袋１丁目第１３,repark-rep0028984,東京都豊島区東池袋１丁目２８‐１,35.729523617524,139.71665080928,self_propelled,3,TRUE,,,hourly,440,12,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0028984&st=4&pref=13
東池袋４丁目第６,repark-rep0028047,東京都豊島区東池袋４丁目３０ー９,35.727040629548,139.72125609715,self_propelled,11,TRUE,,,hourly,330,15,,ハイルーフ,5000,1900,2000,2000,11,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0028047&st=4&pref=13
雑司が谷３丁目,repark-rep0011611,東京都豊島区雑司が谷３丁目２３ー９,35.722827059933,139.7136819202,self_propelled,4,TRUE,,,hourly,220,15,,ハイルーフ,5000,1900,2000,2000,4,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0011611&st=4&pref=13
東池袋１丁目第９,repark-rep0009225,東京都豊島区東池袋１丁目３ー９,35.730267928398,139.71358714044,self_propelled,5,TRUE,,,hourly,330,15,,ハイルーフ,5000,1900,2000,2000,5,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0009225&st=4&pref=13
南池袋１丁目,repark-rep0025776,東京都豊島区南池袋１丁目７ー１４,35.724132412288,139.71007382674,self_propelled,3,TRUE,,,hourly,330,20,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0025776&st=4&pref=13
雑司が谷１丁目第２,repark-rep0027082,東京都豊島区雑司が谷１丁目４１ー１２,35.721616211983,139.72138411429,self_propelled,3,TRUE,,,hourly,220,30,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027082&st=4&pref=13
東池袋１丁目第２,repark-rep0003850,東京都豊島区東池袋１丁目３１－８,35.732345530556,139.71624238026,self_propelled,6,TRUE,,,hourly,660,15,,ハイルーフ,5000,1900,2000,2000,6,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0003850&st=4&pref=13
王子本町１丁目第２,repark-rep0009003,東京都北区王子本町１丁目１２－６,35.753360226482,139.73208176415,self_propelled,5,TRUE,,,hourly,440,30,,ハイルーフ,5000,1900,2000,2000,5,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0009003&st=4&pref=13
王子本町１丁目第３,repark-rep0017146,東京都北区王子本町１丁目９ー１２,35.75311025094,139.7319512305,self_propelled,5,TRUE,,,hourly,220,20,,ハイルーフ,5000,1900,2000,2000,5,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0017146&st=4&pref=13
王子本町２丁目第２,repark-rep0026561,東京都北区王子本町２丁目２６ー７,35.753437975323,139.73094574392,self_propelled,7,TRUE,,,hourly,220,30,,ハイルーフ,5000,1900,2000,2000,7,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0026561&st=4&pref=13
王子本町２丁目,repark-rep0012137,東京都北区王子本町２丁目１６ー１５,35.755140584988,139.73173448801,self_propelled,6,TRUE,,,hourly,220,20,,ハイルーフ,5000,1900,2000,2000,6,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0012137&st=4&pref=13
滝野川１丁目第３,repark-rep0016127,東京都北区滝野川１丁目５８ー４,35.750210645601,139.73678985118,self_propelled,6,TRUE,,,hourly,220,25,,ハイルーフ,5000,1900,2000,2000,6,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0016127&st=4&pref=13
