name,slug,address,latitude,longitude,parking_type,total_spaces,is_24h,open_time,close_time,fee_type,amount_yen,duration_minutes,fee_notes,restriction_name,max_length_mm,max_width_mm,max_height_mm,max_weight_kg,spaces_count,restriction_notes,source_url
小石川１丁目,repark-rep0008890,東京都文京区小石川１丁目２５ー７,35.715022945078,139.74839884034,self_propelled,3,TRUE,,,hourly,220,12,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0008890&st=4&pref=13
春日２丁目第３,repark-rep0025270,東京都文京区春日２丁目１７ー９,35.711639889516,139.74356606448,self_propelled,4,TRUE,,,hourly,330,15,,ハイルーフ,5000,1900,2000,2000,4,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0025270&st=4&pref=13
本郷６丁目,repark-rep0012901,東京都文京区本郷６丁目２２ー６,35.714645369072,139.75765086735,self_propelled,2,TRUE,,,hourly,220,15,,ハイルーフ,5000,1900,2000,2000,2,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0012901&st=4&pref=13
西片２丁目第２,repark-rep0020685,東京都文京区西片２丁目１２ー３,35.715561902815,139.75563432562,self_propelled,8,TRUE,,,hourly,220,30,,ハイルーフ,5000,1900,2000,2000,8,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0020685&st=4&pref=13
本郷３丁目第４,repark-rep0012705,東京都文京区本郷３丁目１７ー７,35.705735280098,139.76160094958,self_propelled,2,TRUE,,,hourly,330,10,,ハイルーフ,5000,1900,2000,2000,2,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0012705&st=4&pref=13
本郷３丁目第３,repark-rep0008955,東京都文京区本郷３丁目１６ー１４,35.705199225222,139.76153153603,self_propelled,3,TRUE,,,hourly,330,12,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0008955&st=4&pref=13
本郷３丁目第２,repark-rep0007628,東京都文京区本郷３丁目１７ー１４,35.705168677002,139.76178984899,self_propelled,4,TRUE,,,hourly,330,10,,ハイルーフ,5000,1900,2000,2000,4,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0007628&st=4&pref=13
白山２丁目第２,repark-rep0017364,東京都文京区白山２丁目１２ー１,35.716064473214,139.74682670095,self_propelled,3,TRUE,,,hourly,220,15,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0017364&st=4&pref=13
向丘１丁目第４,repark-rep0018132,東京都文京区向丘１丁目１ー６,35.716131321375,139.75766468678,self_propelled,9,TRUE,,,hourly,330,15,,ハイルーフ,5000,1900,2000,2000,9,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0018132&st=4&pref=13
本郷３丁目,repark-rep0003676,東京都文京区本郷３丁目４０－１３,35.706499120824,139.76351464448,self_propelled,10,TRUE,,,hourly,330,10,,ハイルーフ,5000,1900,2000,2000,10,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0003676&st=4&pref=13
向丘１丁目,repark-rep0000818,東京都文京区向丘１丁目３－４,35.71711453056,139.75653973494,self_propelled,7,TRUE,,,hourly,330,12,,ハイルーフ,5000,1900,2000,2000,7,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0000818&st=4&pref=13
文京弥生２丁目第２,repark-rep0018564,東京都文京区弥生２丁目５ー２,35.715459251409,139.76225322566,self_propelled,3,TRUE,,,hourly,330,20,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0018564&st=4&pref=13
白山２丁目,repark-rep0013637,東京都文京区白山２丁目１４ー１４,35.717792043162,139.74555172728,self_propelled,1,TRUE,,,hourly,220,20,,ハイルーフ,5000,1900,2000,2000,1,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0013637&st=4&pref=13
コーシャハイム小日向,repark-rep0025614,東京都文京区小日向１丁目２ー３,35.711781464882,139.73924419489,self_propelled,4,TRUE,,,hourly,330,20,,ハイルーフ,5000,1900,2000,2000,4,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0025614&st=4&pref=13
湯島４丁目第２,repark-rep0027678,東京都文京区湯島４丁目１１ー１１,35.710387627962,139.76546430351,self_propelled,3,TRUE,,,hourly,330,20,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027678&st=4&pref=13
白山１丁目第４,repark-rep0027390,東京都文京区白山１丁目３１ー７,35.719275327184,139.75177336428,self_propelled,3,TRUE,,,hourly,440,12,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027390&st=4&pref=13
向丘２丁目第３,repark-rep0010271,東京都文京区向丘２丁目１ー６,35.717831164737,139.7591061558,self_propelled,6,TRUE,,,hourly,220,15,,ハイルーフ,5000,1900,2000,2000,6,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0010271&st=4&pref=13
